"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"烟酒茶超市","北京市丰台区","","购物","http://api.map.baidu.com/place/detail?uid=24d4b5fa1da54f0cfa42b26a&output=html&source=placeapi_v2","11","","",""
2,"华塔烟酒茶","丰台区正阳大街67号正阳大街同盛里3号楼底商","","购物;商铺","http://api.map.baidu.com/place/detail?uid=70d838a0329c2cc049fd3f45&output=html&source=placeapi_v2","4","","",""
3,"烟酒茶专营","北京市丰台区正阳小区3号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ff24f05eee72ed6e79dbd2af&output=html&source=placeapi_v2","5","","",""
4,"鑫三利烟酒茶总汇","西四环南路63-15号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=08f1f1f56d7b7acb88db7321&output=html&source=placeapi_v2","14","","",""
5,"烟酒茶超市","丰台区三环新城小区三号(汇丰家园西北)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=39d43f82786bcd86a8059d29&output=html&source=placeapi_v2","12","","",""
6,"福之源茶","北京市丰台区枫泽园8号楼","","购物","http://api.map.baidu.com/place/detail?uid=9a4d41de645699f2eedfca76&output=html&source=placeapi_v2","3","","",""
7,"茶和天下(南城会馆)","丰管路16号院西国贸大厦科技孵化广场附近","","美食;茶座","http://api.map.baidu.com/place/detail?uid=ff28e7d9ed348f1af5e73be7&output=html&source=placeapi_v2","4","","4",""
8,"烟酒茶行","芳菲路5号樊家村11号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ea4510dfb987d14b82a12e56&output=html&source=placeapi_v2","3","","",""
9,"满通烟酒茶行(三环新城店)","樊家村甲10号院1号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=07c9c9ae14d8ea7b2a02e181&output=html&source=placeapi_v2","5","","2",""
10,"烟酒茶行","北京市丰台区东大街3-1","","购物;商铺","http://api.map.baidu.com/place/detail?uid=dbf4d6ee4093482a6fa3cc29&output=html&source=placeapi_v2","7","","",""
11,"烟酒茶超市","望园路9-1","(010)59439688","购物;商铺","http://api.map.baidu.com/place/detail?uid=6619426c8e58af419122e015&output=html&source=placeapi_v2","8","","",""
12,"古井贡酒·年份原浆烟酒茶超市","万丰路300号","","购物","http://api.map.baidu.com/place/detail?uid=c23ec3ae9a23e79a0a5cb364&output=html&source=placeapi_v2","2","","",""
13,"韵逸轩茶会所","北京市丰台区望园东里31号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=89349e91fe4e1ac2c42ba1bf&output=html&source=placeapi_v2","4","","",""
14,"旺角港式茶餐厅","北京丰台区万丰路306号万丰小吃城内","(010)63896210","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=116da7dece3936f307fef5ee&output=html&source=placeapi_v2","1","","4",""
15,"烟酒茶行","北京市丰台区","","购物","http://api.map.baidu.com/place/detail?uid=48f116970cf73256c2f1cf86&output=html&source=placeapi_v2","1","","",""
16,"烟酒茶北京特产超市","丰台区丽泽路99号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e3bbe82256c17cb98e55eca8&output=html&source=placeapi_v2","17","","",""
17,"雅迪电动车(西局东街)","茶源街与西局东街交叉口西150米","13718628650","购物;商铺","http://api.map.baidu.com/place/detail?uid=509733efee5d67a8f7eafc78&output=html&source=placeapi_v2","5","","",""
18,"尚品烟酒茶超市(No.4店)","三路居路121-76号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0d802d2b045498ff8bb9888a&output=html&source=placeapi_v2","6","","",""
19,"北京茶宫","马连道路茶叶街南口茶缘茶城内","010-63395118","购物;商铺","http://api.map.baidu.com/place/detail?uid=5616fa4438937d7202294fcf&output=html&source=placeapi_v2","21","","3.5",""
20,"有朋普洱茶庄","丰台区马连道茶缘茶城南楼1-2号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=83eb50326a7b6faf364aae4b&output=html&source=placeapi_v2","13","","",""
21,"茶大爷(马连道店)","北京市西城区马连道路新年华购物中心4层","","美食;蛋糕甜品店","http://api.map.baidu.com/place/detail?uid=aef3a15313f256f6ef74f86b&output=html&source=placeapi_v2","13","","2",""
22,"茶源路","北京市西城区","","","",,"","",""
23,"茶帮手","北京市西城区丽源路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=1ef4dffaf518e930c51e51fe&output=html&source=placeapi_v2","3","","",""
24,"海潮茶行","西城区马连道路南口茶缘茶城1楼F2厅19号(近茶叶街)","(010)52697406","美食;茶座","http://api.map.baidu.com/place/detail?uid=e93761f66adbda15233bf28f&output=html&source=placeapi_v2","1","","4",""
25,"多杰茶邦","北大荒菜楼附近","(010)51809327","购物;商铺","http://api.map.baidu.com/place/detail?uid=a35a6597dbe67a134e776e83&output=html&source=placeapi_v2","6","","5",""
26,"梓茗轩普洱茶","三路居路马连道茶缘茶城东50米","13911693294","购物;商铺","http://api.map.baidu.com/place/detail?uid=d05a8c8e24ba70abeee4a51b&output=html&source=placeapi_v2","3","","0",""
27,"道同香茗茶行","西城区马连道南口茶缘茶城东楼五号(新年华购物中心)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f7d40fb574cebcd5be484264&output=html&source=placeapi_v2","1","","",""
28,"北京天地祥源茶文化传播有限公司","茶缘茶城南楼2-7号","(010)52690459","公司企业","http://api.map.baidu.com/place/detail?uid=915d5b5f1535e5a35cbe86dd&output=html&source=placeapi_v2","1","","",""
29,"泥壶缘","马连道茶缘茶城西广场01号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e5d0e0fadeb9530bcb09f072&output=html&source=placeapi_v2","4","","",""
30,"沁元堂","丰台区马莲道茶缘茶城西长廊18号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=cc78956fa1330907744ff1d5&output=html&source=placeapi_v2","5","","",""
31,"露雨茗苑茶庄","北京市西城区茶缘茶城西广场3号(近马连道家乐福)","(010)51809870","购物;商铺","http://api.map.baidu.com/place/detail?uid=e5d0f6de7c0f2e6f99005069&output=html&source=placeapi_v2","1","","",""
32,"吟润茶庄","北京马连道茶缘茶城西广场6号A","(010)51809319,13811708520","购物;商铺","http://api.map.baidu.com/place/detail?uid=1ec44f0e58f13b8f8bdb7302&output=html&source=placeapi_v2","2","","",""
33,"都客隆超市(西局东街)","丽源路与茶源路路口西北侧（太平兴盛市场北）","","购物;超市","http://api.map.baidu.com/place/detail?uid=aac0c733bee02a5feb12e455&output=html&source=placeapi_v2","6","","",""
