"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
35,"北京茶宫","马连道路茶叶街南口茶缘茶城内","010-63395118","购物;商铺","http://api.map.baidu.com/place/detail?uid=5616fa4438937d7202294fcf&output=html&source=placeapi_v2","21","","3.5",""
36,"茶马东路","北京市西城区","","","",,"","",""
37,"茶马东路","北京市西城区","","道路","http://api.map.baidu.com/place/detail?uid=24bf256e5afa22362bd7ab51&output=html&source=placeapi_v2","1","","",""
38,"茶马北街","北京市西城区","","","",,"","",""
39,"金奖惠明茶","西城区马连道路10号世纪茶贸中心1号楼1楼1-235","","购物;商铺","http://api.map.baidu.com/place/detail?uid=36cd5ec686969d455d0d0214&output=html&source=placeapi_v2","2","","",""
40,"澜沧古茶有限公司","马连道路6号院北京国际茶城","(010)63341187,13911317168","公司企业","http://api.map.baidu.com/place/detail?uid=c68dca3321562e9385420efc&output=html&source=placeapi_v2","5","","",""
41,"北京世纪茶贸中心公寓","西城区茶马北街1号院2号楼2单元2区2-221","(010)52902218","酒店","http://api.map.baidu.com/place/detail?uid=f3e8cdc86cecd071f7e73b46&output=html&source=placeapi_v2","2","","3.4","0"
42,"西客站世纪茶贸自助公寓","北京北京西城区马莲道世纪茶贸中心2-3-0928","15611647154","酒店","http://api.map.baidu.com/place/detail?uid=8ffa64671961eaf102ff2d4f&output=html&source=placeapi_v2","23","","4.1","0"
43,"云南滇红普洱誉茗堂茶总汇","马连道胡同1号天福缘南门9号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=b38878057fe2855ce215f950&output=html&source=placeapi_v2","1","","",""
44,"湘益茯茶","第三区商业街5-1001","(010)52690596","购物;商铺","http://api.map.baidu.com/place/detail?uid=8707b7d168e8d0e435b06c3b&output=html&source=placeapi_v2","10","","",""
45,"圣源六堡茶","北京市西城区第三区商业街5-1032","(010)63256615","购物;商铺","http://api.map.baidu.com/place/detail?uid=ee90ec8bc59c509f54bfff5b&output=html&source=placeapi_v2","1","","",""
46,"茶马南街1号楼","北京市西城区茶马南街1号","(010)63219000","房地产;写字楼","http://api.map.baidu.com/place/detail?uid=77b280bc76c5ac1d1e5800aa&output=html&source=placeapi_v2","11","","5",""
47,"有朋普洱茶庄","丰台区马连道茶缘茶城南楼1-2号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=83eb50326a7b6faf364aae4b&output=html&source=placeapi_v2","13","","",""
48,"普氏普洱茶庄","广安门外马连道路11号一商大厦马连道茶城2楼5-05（近马连道家乐福）","(010)63342036","购物;商铺","http://api.map.baidu.com/place/detail?uid=6fddd7fd7cfb6a663417dc90&output=html&source=placeapi_v2","8","","5",""
49,"敬昌号普洱老茶","西城区马连道路6号院6-6号鼎观大厦1层123","(010)63344112","购物;商铺","http://api.map.baidu.com/place/detail?uid=80f6b269fe01a75a14c8f6f1&output=html&source=placeapi_v2","2","","",""
50,"找茶(马连道店)","宣武区马连道路11号家乐福1楼","","美食;蛋糕甜品店","http://api.map.baidu.com/place/detail?uid=6113ef7715e5890d8e7727d2&output=html&source=placeapi_v2","14","","3.7",""
51,"茶大爷(马连道店)","北京市西城区马连道路新年华购物中心4层","","美食;蛋糕甜品店","http://api.map.baidu.com/place/detail?uid=aef3a15313f256f6ef74f86b&output=html&source=placeapi_v2","13","","2",""
52,"宣武区个体私营经济协会马连道茶商分会","马连道路11号北京马连道茶城","","政府机构;党派团体","http://api.map.baidu.com/place/detail?uid=c22481f17169c1aea8175afd&output=html&source=placeapi_v2","1","","0",""
53,"茶马大厦-东门","北京市西城区马连道路19号","","出入口;门","http://api.map.baidu.com/place/detail?uid=15a53d1b569afe5517948ec6&output=html&source=placeapi_v2","1","","",""
54,"茶马大厦-停车场","马连道路19号","","交通设施;停车场","http://api.map.baidu.com/place/detail?uid=0c4c84de9899c1df932ca3eb&output=html&source=placeapi_v2","1","","",""
55,"茶马北街1号院2号楼","北京市西城区茶马北街1号院2号楼","","房地产;住宅区","http://api.map.baidu.com/place/detail?uid=51646b1763cbbe5883a00cd7&output=html&source=placeapi_v2","1","","",""
56,"茶马北街1号院1号楼","北京市西城区茶马北街1号院1号楼","","房地产;住宅区","http://api.map.baidu.com/place/detail?uid=9a74f260845a51dea21de94d&output=html&source=placeapi_v2","3","","",""
57,"世纪茶贸中心-停车场","北京市西城区茶马北街1号院","","交通设施;停车场","http://api.map.baidu.com/place/detail?uid=bba87388e8d544debda822b7&output=html&source=placeapi_v2","1","","",""
58,"茶马街","北京市西城区","","","",,"","",""
59,"茶源路","北京市西城区","","","",,"","",""
60,"茶帮手","北京市西城区丽源路","","购物;商铺","http://api.map.baidu.com/place/detail?uid=1ef4dffaf518e930c51e51fe&output=html&source=placeapi_v2","3","","",""
61,"古树茶","北京市西城区马连道路19茶马大厦一层底商","","购物;商铺","http://api.map.baidu.com/place/detail?uid=2b02055c9ca04ae3badf8f31&output=html&source=placeapi_v2","4","","",""
62,"茶图腾","西城区茶马北街1号院2世纪茶贸中心1-2-108","(010)63427595","购物","http://api.map.baidu.com/place/detail?uid=04ac07576879da7c38221c15&output=html&source=placeapi_v2","3","","5",""
63,"青山茶行","北京市西城区京华北门7号","13717825736,13661333350","购物;商铺","http://api.map.baidu.com/place/detail?uid=a13aa5eb12ffd64c7402694c&output=html&source=placeapi_v2","2","","0",""
64,"海潮茶行","西城区马连道路南口茶缘茶城1楼F2厅19号(近茶叶街)","(010)52697406","美食;茶座","http://api.map.baidu.com/place/detail?uid=e93761f66adbda15233bf28f&output=html&source=placeapi_v2","1","","4",""
65,"鸿燕茶馨","丰台区太平桥路华源四里威尔夏大道底商","(010)63380223","购物;商铺","http://api.map.baidu.com/place/detail?uid=dfb660df1889b7fc15a19016&output=html&source=placeapi_v2","3","","",""
66,"多杰茶邦","北大荒菜楼附近","(010)51809327","购物;商铺","http://api.map.baidu.com/place/detail?uid=a35a6597dbe67a134e776e83&output=html&source=placeapi_v2","6","","5",""
67,"书香茶韵","茶马北街1号院2世纪茶贸中心","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0e55ba1ea6b0953828201a26&output=html&source=placeapi_v2","5","","",""
68,"荣美茶行","马连道9号武夷岩茶","(010)63252032","购物;商铺","http://api.map.baidu.com/place/detail?uid=31797519cd924ac10f0e6b8c&output=html&source=placeapi_v2","2","","",""
69,"茶来茶网","马连道路11号茶叶城2楼B20","(010)63288585","购物;商铺","http://api.map.baidu.com/place/detail?uid=7aea43b75f21e3e17c29bd10&output=html&source=placeapi_v2","1","","5",""
70,"乾煌茶叶(茶贸中心店)","西城区马连道路茶马北街1号院2号楼1楼2区2-206号店(近美吉丽宾馆)","13366402008,(010)63427456","购物;商铺","http://api.map.baidu.com/place/detail?uid=22eca04b97e9d8f0d0ff23e5&output=html&source=placeapi_v2","27","","",""
71,"仙山茶行","北京市西城区茶叶总公司A区103号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e74e00fc492d2d6ff4b9161b&output=html&source=placeapi_v2","5","","",""
72,"古澜茶轩","茶马北街1号院2世纪茶贸中心1-2-150号","","购物;便利店","http://api.map.baidu.com/place/detail?uid=08a1ab9f18fadecd6fc02cfe&output=html&source=placeapi_v2","1","","",""
73,"鑫源茶行","北京市西城区第三区商业街1068号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=537d38034dac037d40e192f9&output=html&source=placeapi_v2","4","","",""
74,"金龙茶行","马连道天福缘茶叶批发市场北28号","(010)63431147,13801269195","购物;商铺","http://api.map.baidu.com/place/detail?uid=d80f8f4598f36baa2a02e134&output=html&source=placeapi_v2","7","","",""
75,"大德盛茶号","茶叶总公司市场南区白楼2号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c0e3226144bc58bf3be4a619&output=html&source=placeapi_v2","4","","",""
76,"文昌号茶行","北京市西城区茶贸中心1号228","13718560637","购物;商铺","http://api.map.baidu.com/place/detail?uid=1193defb641a78a293114c75&output=html&source=placeapi_v2","2","","",""
77,"茶马街6号院","马连道街附近","","房地产;住宅区","http://api.map.baidu.com/place/detail?uid=ffa763304215ba5bddee8b27&output=html&source=placeapi_v2","3","","",""
78,"茶马北小街","北京市西城区","","道路","http://api.map.baidu.com/place/detail?uid=8d194884d051ef398ab988af&output=html&source=placeapi_v2","1","","0",""
79,"仙添香茶行","马连道天福缘茶叶批发市场北17号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8bfc85ff23c6a285ca1b955a&output=html&source=placeapi_v2","4","","",""
80,"华岩香茗茶","马连道世纪茶贸中心1-111","(010)63452559","购物;商铺","http://api.map.baidu.com/place/detail?uid=2ec8a6a5dbf8986a17b54b37&output=html&source=placeapi_v2","2","","",""
81,"茶生缘茶业","马连道天福缘茶叶批发市场东门-5号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=58fd497414c1f6eaacee7a93&output=html&source=placeapi_v2","4","","",""
82,"大玩家茶府","北京西城区马连道路19号茶马大厦1楼(家乐福往南150米)","(010)51938772","购物;商铺","http://api.map.baidu.com/place/detail?uid=49a02a7a22ab26592a201ab1&output=html&source=placeapi_v2","14","","5",""
83,"茶马北小街","北京市西城区","","","",,"","",""
84,"老曼峨牌普洱茶北京营销部","马连道15号院2号楼2-4铺","010-52690309","购物;商铺","http://api.map.baidu.com/place/detail?uid=c762df2512225e18ab0dd8ec&output=html&source=placeapi_v2","4","","5",""
85,"大德盛茶號","中国马连道14号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c55ca47293d515572cb96df5&output=html&source=placeapi_v2","7","","",""
86,"梓茗轩普洱茶","三路居路马连道茶缘茶城东50米","13911693294","购物;商铺","http://api.map.baidu.com/place/detail?uid=d05a8c8e24ba70abeee4a51b&output=html&source=placeapi_v2","3","","0",""
87,"祥悦茗福茶业(茶马北小街)","北京市西城区茶马北街1号院2号楼1层2-255","(010)63263329,15880038294","购物;商铺","http://api.map.baidu.com/place/detail?uid=042e63dc1bbce676ed74f864&output=html&source=placeapi_v2","4","","5",""
88,"茶马西路北口","北京市西城区","","出入口;其他","http://api.map.baidu.com/place/detail?uid=7082aab0351f40c2ebe582da&output=html&source=placeapi_v2","1","","0",""
89,"水之品茶之味体验馆","马连道茶马街6号院2号楼101","","","http://api.map.baidu.com/place/detail?uid=6dca9be734dec08ace04ef86&output=html&source=placeapi_v2","1","","",""
90,"茶马西路南口","北京市西城区","","出入口;其他","http://api.map.baidu.com/place/detail?uid=5f52fe75ccd336c386420e93&output=html&source=placeapi_v2","1","","0",""
91,"北京柯氏茶行","马连道胡同14号天福缘茶叶市场C1-30","(010)58390436","购物","http://api.map.baidu.com/place/detail?uid=a6282abcb86fe6874207c1e2&output=html&source=placeapi_v2","8","","",""
92,"杨普号普洱茶","北京市西城区马连道9号院","","购物","http://api.map.baidu.com/place/detail?uid=eaf58812b18bc793bca822a3&output=html&source=placeapi_v2","1","","",""
93,"鑫悦清韵茶行","西城区马连道路10号世纪茶贸中心2-2-108室(近家乐福)","(010)63445696","美食;茶座","http://api.map.baidu.com/place/detail?uid=3dc9befd7ea4870fbfa24081&output=html&source=placeapi_v2","1","","3",""
94,"道同香茗茶行","西城区马连道南口茶缘茶城东楼五号(新年华购物中心)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f7d40fb574cebcd5be484264&output=html&source=placeapi_v2","1","","",""
95,"茶马北小街西口","北京市西城区","","出入口;其他","http://api.map.baidu.com/place/detail?uid=b6e0630289763f82a2d230da&output=html&source=placeapi_v2","1","","0",""
96,"仙仙普洱茶大观园","西城区马连道路6号院-4-13号","13910587723","购物;商铺","http://api.map.baidu.com/place/detail?uid=3dc05c77860e6c3403897236&output=html&source=placeapi_v2","17","","",""
97,"润易普洱茶城-南门","马连道路9号楼附近","","出入口;门","http://api.map.baidu.com/place/detail?uid=d2ae497d472f0e38d618b7d3&output=html&source=placeapi_v2","1","","0",""
98,"清友谈茶-新茶煮义","西城区马连道第三区商业街2号楼10016-10017","13801079737","美食;茶座","http://api.map.baidu.com/place/detail?uid=a45edc8c0963594db8bd630e&output=html&source=placeapi_v2","1","","5",""
99,"茶马街6号院-正门","北京市西城区","","出入口;门","http://api.map.baidu.com/place/detail?uid=ac93209a109c1f30f2193729&output=html&source=placeapi_v2","1","","0",""
100,"北京气象宾馆茶吧","马连道南街12号北京气象宾馆1层","(010)68406699","美食","http://api.map.baidu.com/place/detail?uid=253d3e0fada6bfe3c61b754c&output=html&source=placeapi_v2","23","","1.5",""
101,"白沙溪(茶马北街)","茶马北街1号院-2世纪茶贸中心1-116","","购物;商铺","http://api.map.baidu.com/place/detail?uid=15fb31c4337de9cd5fbe8603&output=html&source=placeapi_v2","2","","",""
102,"紫艺茶业湘益茯茶","马连道路11号一商大厦2层南区","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0adce3e24a6ec06180a00ced&output=html&source=placeapi_v2","1","","4",""
103,"惠民利安烟酒茶行","北京市丰台区北京西站南路13号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8fc91bf9d9b5f342047ce8d9&output=html&source=placeapi_v2","7","","4.5",""
104,"中印集团文化有限责任公司(茶马南街)","北京市西城区红莲南路57号中国印刷大厦5层","010-88333060","公司企业","http://api.map.baidu.com/place/detail?uid=2e0d374b37a7b68b77026909&output=html&source=placeapi_v2","1","","",""
105,"北京巴蜀茗乡茶行","马连道21号京闽茶城3层18号","13260039991","购物;商铺","http://api.map.baidu.com/place/detail?uid=19bf0b93b8890e81593ac822&output=html&source=placeapi_v2","1","","5",""
106,"茶马大厦停车场-入口","马连道路19号","","出入口;其他","http://api.map.baidu.com/place/detail?uid=691af9c8b519625f0782c2a6&output=html&source=placeapi_v2","1","","",""
107,"台湾茶博馆(北京店)","西城区马连道路10号世纪茶贸中心1号楼1楼1-232号铺(近马连道家乐福)","(010)63342733","旅游景点;文物古迹","http://api.map.baidu.com/place/detail?uid=5ffb18168506d4466e476085&output=html&source=placeapi_v2","1","","5",""
108,"包商银行ATM(茶源路)","北京市西城区","","金融;atm","http://api.map.baidu.com/place/detail?uid=7b268db6afb21e53d02dd64f&output=html&source=placeapi_v2","2","","",""
109,"秀域(茶马大厦西)","马连道路15号院11","(010)52690990","丽人;美容","http://api.map.baidu.com/place/detail?uid=6fddd7fd797465663517dc11&output=html&source=placeapi_v2","31","","3.9",""
110,"韵香茗茶(茶马北街)","马连道路12号院京马茶城A7号","(010)63405746,13699181237","购物","http://api.map.baidu.com/place/detail?uid=f8944968d67c38f1cb213d5e&output=html&source=placeapi_v2","1","","",""
111,"普洱茶专卖(马连道路)","马连道路21号京闽茶城1层15号、4层07号","(010)63312188,(010)63422506,(010)63482829","购物","http://api.map.baidu.com/place/detail?uid=363090021e574572d8d8919d&output=html&source=placeapi_v2","4","","",""
112,"聚鼎元茶行(北京旗舰店)","西城区马连道第三区商业街5-1109","(010)83204306","购物;商铺","http://api.map.baidu.com/place/detail?uid=9c1ec7cadd2150419ee32187&output=html&source=placeapi_v2","4","","",""
113,"福香春茗茶(茶马大厦东)","西城区马连道路12号院京马茶城B1号(茶马大厦东)","13701063244","购物;商铺","http://api.map.baidu.com/place/detail?uid=d96284e85c3b1ab95d0d02da&output=html&source=placeapi_v2","5","","",""
114,"天月茶超市(马连道店)","马连道路11号北京马连道茶城3层","(010)63342691,(010)63342692","购物;超市","http://api.map.baidu.com/place/detail?uid=4cf8d24eba8245fd9cf77952&output=html&source=placeapi_v2","31","","3.2",""
115,"中圣明金融(茶马南街)","马连道南街63附近","","金融","http://api.map.baidu.com/place/detail?uid=1a28ffdf85dbbb9a1ce9998d&output=html&source=placeapi_v2","3","","",""
116,"北京嘉叶源茶行有限公司","马连道路11号一商大厦1322","51809681","公司企业","http://api.map.baidu.com/place/detail?uid=9b9fc7ad089fe4089f09f71c&output=html&source=placeapi_v2","1","","",""
117,"北京茶马小筑酒店式公寓","北京市西城区世纪茶贸中心","","酒店;公寓式酒店","http://api.map.baidu.com/place/detail?uid=6f45cb372303f6cfd23ce3ee&output=html&source=placeapi_v2","1","","","0"
118,"吾友茶源（北京）商贸有限公司","茶马北街1号院-5号楼","13910395841","公司企业;公司","http://api.map.baidu.com/place/detail?uid=66e10cdcf303e6b94d2fdf07&output=html&source=placeapi_v2","2","","",""
119,"北京茶巴巴科技发展有限公司","马连道路9号(格调小区)","(010)63343448,4006939373","公司企业","http://api.map.baidu.com/place/detail?uid=e937108a387ce0b8fa0cada9&output=html&source=placeapi_v2","1","","",""
120,"北京默意御康茶文化交流中心","北京市西城区马莲道11号一商大厦6层","","公司企业","http://api.map.baidu.com/place/detail?uid=df263ea387f623b08f55ec40&output=html&source=placeapi_v2","1","","",""
121,"北京三千水茶文化有限公司","马连道路12号院京马茶城A18","(010)63420188,13601298938","公司企业","http://api.map.baidu.com/place/detail?uid=2794b4d8b4e882b0c26c1418&output=html&source=placeapi_v2","5","","",""
122,"乐品斋茶文化综合体验中心","北京市西城区马连道南街6号马正和茶城三层","4000809189","购物;商铺","http://api.map.baidu.com/place/detail?uid=d9257158f7ccc18ab5147fbe&output=html&source=placeapi_v2","11","","",""
123,"茶马街6号院地下停车场-入口","北京市西城区茶马南路","","出入口;其他","http://api.map.baidu.com/place/detail?uid=79790c70c0e010a0c056ac28&output=html&source=placeapi_v2","1","","0",""
124,"北京满堂香国际茶文化发展有限公司","马连道路6号院5号楼北京国际茶城四层（工商银行楼上）","63451190","公司企业","http://api.map.baidu.com/place/detail?uid=d82d6697efaadfa5d518b764&output=html&source=placeapi_v2","9","","",""
125,"北京梵茗缘茶文化有限公司","马连道第三区3号楼10011室(近广安门)","(010)63433011","公司企业","http://api.map.baidu.com/place/detail?uid=95c5ecc7b58dc4516d20b95b&output=html&source=placeapi_v2","35","","",""
126,"北京吴玉章茶文化有限公司","茶马北街1号院2世纪茶贸中心","(010)58390212","公司企业","http://api.map.baidu.com/place/detail?uid=d530cee5d114d5502afc48f2&output=html&source=placeapi_v2","1","","",""
127,"北京翰云轩茶文化有限公司","马连道南口第三区商业街1049C","(010)63259388","购物;商铺","http://api.map.baidu.com/place/detail?uid=ad29658380256b88f219373e&output=html&source=placeapi_v2","41","","",""
128,"万花林（马连道茶贸中心店）","马连道茶贸中心2-2-1020号","13710710060","公司企业;公司","http://api.map.baidu.com/place/detail?uid=28b624157b24c81315c905c7&output=html&source=placeapi_v2","1","","1",""
129,"湾子街社区居委会(茶源路)","马连道路15号信和嘉园3号楼底层","","政府机构;各级政府","http://api.map.baidu.com/place/detail?uid=3e37b9ca2dd661b1fa0cad8f&output=html&source=placeapi_v2","3","","",""
130,"北京天地祥源茶文化传播有限公司","茶缘茶城南楼2-7号","(010)52690459","公司企业","http://api.map.baidu.com/place/detail?uid=915d5b5f1535e5a35cbe86dd&output=html&source=placeapi_v2","1","","",""
131,"马连道茶味街流动人口计划生育协会","马连道路11号","(010)83243342","政府机构;党派团体","http://api.map.baidu.com/place/detail?uid=b0bbb926150b98b64207c1b2&output=html&source=placeapi_v2","1","","",""
132,"北京优豪斯之家公寓(茶马北街路店)","茶马北街茶马北街一号院院内(辉州茶菊北20米)","18210660322","酒店;公寓式酒店","http://api.map.baidu.com/place/detail?uid=4320dbe06e1102e6be48420b&output=html&source=placeapi_v2","50","","4.0","0"
133,"山亭茶业(茶马大厦东)","西城区马连道路12号院京马茶城A5号(北京茶叶总公司品牌商务楼西北)","(010)63397598,13811262119","购物;商铺","http://api.map.baidu.com/place/detail?uid=94969fdc532be769c036441c&output=html&source=placeapi_v2","4","","",""
134,"茶马古韵(北京茶叶总公司品牌商务楼北)","马连道路12号院京马茶城11-2号(北京茶叶总公司品牌商务楼北)","(010)63467837,13401055639,13811485385","购物;商铺","http://api.map.baidu.com/place/detail?uid=fe91cd177f4daa114c3a59bd&output=html&source=placeapi_v2","4","","",""
135,"上海浦东发展银行24小时自助银行(茶马北街)","西城区马连道路14号","","金融;atm","http://api.map.baidu.com/place/detail?uid=07ecadfe9921154cb03c814d&output=html&source=placeapi_v2","3","","",""
136,"第三区-商业街","茶马街8号院","(010)63466666,010-63634080","购物;商铺","http://api.map.baidu.com/place/detail?uid=348c14e03bfad10dac0457bd&output=html&source=placeapi_v2","4","","3.5",""
137,"首纳商务酒店","茶马北街1号院-2世纪茶贸中心","(010)63287858","酒店","http://api.map.baidu.com/place/detail?uid=8aa056ae0803baea3913fdb5&output=html&source=placeapi_v2","28","","3.1","0"
138,"龙信联城国际知识产权代理（北京）有限公司","茶马北街商标局数字大楼西转300米左右","57120718","公司企业","http://api.map.baidu.com/place/detail?uid=3e38bb7a3a4b06e33b221c71&output=html&source=placeapi_v2","1","","",""
139,"心然居","西城区茶马北街1号院2世纪茶贸中心2-2-128","","购物;商铺","http://api.map.baidu.com/place/detail?uid=6af75e26ef94b8e5cafa5f60&output=html&source=placeapi_v2","3","","",""
140,"北京快途电子商务公司","马连道路19号茶马大厦1404","","公司企业","http://api.map.baidu.com/place/detail?uid=e1a25103d74eb9f375e5b6d0&output=html&source=placeapi_v2","1","","",""
141,"汇德福茶业","茶马北街1号院2世纪茶贸中心1-2-156号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=7260056088ecac7e83a00c09&output=html&source=placeapi_v2","2","","",""
142,"苏亚国际信息技术（北京）有限公司","北京市西城区茶马北街1号院1号楼3层2单元0338","62112102","公司企业","http://api.map.baidu.com/place/detail?uid=f9cf8d8ff29dc2f7ede4a5ec&output=html&source=placeapi_v2","2","","",""
