"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"烟酒茶超市","北京市丰台区","","购物","http://api.map.baidu.com/place/detail?uid=24d4b5fa1da54f0cfa42b26a&output=html&source=placeapi_v2","11","","",""
2,"华塔烟酒茶","丰台区正阳大街67号正阳大街同盛里3号楼底商","","购物;商铺","http://api.map.baidu.com/place/detail?uid=70d838a0329c2cc049fd3f45&output=html&source=placeapi_v2","4","","",""
3,"烟酒茶专营","北京市丰台区正阳小区3号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ff24f05eee72ed6e79dbd2af&output=html&source=placeapi_v2","5","","",""
4,"烟酒茶行","北京市丰台区东大街3-1","","购物;商铺","http://api.map.baidu.com/place/detail?uid=dbf4d6ee4093482a6fa3cc29&output=html&source=placeapi_v2","7","","",""
5,"鑫三利烟酒茶总汇","西四环南路63-15号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=08f1f1f56d7b7acb88db7321&output=html&source=placeapi_v2","14","","",""
6,"烟酒茶超市","丰台区三环新城小区三号(汇丰家园西北)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=39d43f82786bcd86a8059d29&output=html&source=placeapi_v2","12","","",""
7,"福之源茶","北京市丰台区枫泽园8号楼","","购物","http://api.map.baidu.com/place/detail?uid=9a4d41de645699f2eedfca76&output=html&source=placeapi_v2","3","","",""
8,"茶和天下(南城会馆)","丰管路16号院西国贸大厦科技孵化广场附近","","美食;茶座","http://api.map.baidu.com/place/detail?uid=ff28e7d9ed348f1af5e73be7&output=html&source=placeapi_v2","4","","4",""
9,"烟酒茶行","芳菲路5号樊家村11号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=ea4510dfb987d14b82a12e56&output=html&source=placeapi_v2","3","","",""
10,"满通烟酒茶行(三环新城店)","樊家村甲10号院1号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=07c9c9ae14d8ea7b2a02e181&output=html&source=placeapi_v2","5","","2",""
11,"烟酒茶超市","望园路9-1","(010)59439688","购物;商铺","http://api.map.baidu.com/place/detail?uid=6619426c8e58af419122e015&output=html&source=placeapi_v2","8","","",""
12,"古井贡酒·年份原浆烟酒茶超市","万丰路300号","","购物","http://api.map.baidu.com/place/detail?uid=c23ec3ae9a23e79a0a5cb364&output=html&source=placeapi_v2","2","","",""
13,"韵逸轩茶会所","北京市丰台区望园东里31号楼","","购物;商铺","http://api.map.baidu.com/place/detail?uid=89349e91fe4e1ac2c42ba1bf&output=html&source=placeapi_v2","4","","",""
14,"旺角港式茶餐厅","北京丰台区万丰路306号万丰小吃城内","(010)63896210","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=116da7dece3936f307fef5ee&output=html&source=placeapi_v2","1","","4",""
15,"烟酒茶行","北京市丰台区","","购物","http://api.map.baidu.com/place/detail?uid=48f116970cf73256c2f1cf86&output=html&source=placeapi_v2","1","","",""
16,"晖映天地茶","北京市丰台区","(010)63306602","购物;商铺","http://api.map.baidu.com/place/detail?uid=236599e3e233a9c20c0e6b16&output=html&source=placeapi_v2","5","","",""
17,"菜鸟驿站","羊坊店街道万丰路18号院2号楼(烟酒茶行百货超市)","","交通设施;火车站","http://api.map.baidu.com/place/detail?uid=593a785cd5f1ab138415411c&output=html&source=placeapi_v2","1","","",""
18,"烟酒茶超市","北京市丰台区太平桥路44号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=39d43f82e284479fa9059da1&output=html&source=placeapi_v2","28","","3",""
19,"双安红莲茶市场","西城区马连道胡同1号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=262173f573ec73927f29bd14&output=html&source=placeapi_v2","4","","5",""
20,"烟酒茶北京特产超市","丰台区丽泽路99号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e3bbe82256c17cb98e55eca8&output=html&source=placeapi_v2","17","","",""
21,"大益普洱茶(马连道嘉木源店)","北京市宣武区马连道南口茶缘茶城D2-27号","(010)51809740,13910222867","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ec07dae0a5681ebbea2403e&output=html&source=placeapi_v2","1","","",""
22,"祥源茶","第三区商业街5-1094、1905","13910183776","购物;商铺","http://api.map.baidu.com/place/detail?uid=9942fa8f5a4a9156f4e73b6a&output=html&source=placeapi_v2","6","","",""
23,"烟酒茶平价超市","北京市丰台区太平桥中里20号楼","","购物;超市","http://api.map.baidu.com/place/detail?uid=3ee10e05e91b02cec26c1487&output=html&source=placeapi_v2","3","","",""
24,"大益普洱茶(金祥海鲜美食购物娱乐广场西)","茶马北街1号院2世纪茶贸中心","13911898755","购物;商铺","http://api.map.baidu.com/place/detail?uid=7d62e68ae59aa457b54f54f8&output=html&source=placeapi_v2","1","","",""
25,"美誉唐烟酒茶商行","太平桥中路华源四里7号楼","010-63379505","购物;商铺","http://api.map.baidu.com/place/detail?uid=03840e1df3d20450213bf2f9&output=html&source=placeapi_v2","8","","",""
26,"华诚烟酒茶超市","太平桥46-3号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8f2505ba85ee46a354bfff6c&output=html&source=placeapi_v2","4","","",""
27,"尚品烟酒茶超市(No.4店)","三路居路121-76号附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=0d802d2b045498ff8bb9888a&output=html&source=placeapi_v2","6","","",""
28,"世纪茶贸中心","茶马北街1号院2","","房地产;住宅区","http://api.map.baidu.com/place/detail?uid=ace38b10aa34b35a4afd3f28&output=html&source=placeapi_v2","152","","5.0",""
29,"茗媛茶衣坊","茶马北街1号院2世纪茶贸中心","","购物;商铺","http://api.map.baidu.com/place/detail?uid=e26cc52e021cd1675cbe8612&output=html&source=placeapi_v2","1","","",""
30,"茶马南街","北京市西城区","","","",,"","",""
31,"茶马西路","北京市西城区","","","",,"","",""
32,"一天一叶北京茶生活馆","北京市西城区第三区商业街1128号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=b82720b8fb9a2aa9a0acc4c6&output=html&source=placeapi_v2","1","","",""
33,"心怡香茗茶北京直销处","北京市西城区马连道天福缘茶叶批发市场北30号","(010)58390338,13701378809","购物;商铺","http://api.map.baidu.com/place/detail?uid=992ee2b16d877e0135b06c3b&output=html&source=placeapi_v2","3","","",""
34,"茶马大厦","马连道路19号","(010)63280955","房地产;写字楼","http://api.map.baidu.com/place/detail?uid=f2f15ffb44e69688631c67f0&output=html&source=placeapi_v2","6","","4.7",""
