"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"张一元茶庄(三环新城分店)","北京市丰台区丰桥路三环新城8号院甲1-15底商","(010)83630796","购物;商铺","http://api.map.baidu.com/place/detail?uid=5c56edd66ddd4343a0d230bc&output=html&source=placeapi_v2","11","","4.3",""
2,"吴裕泰茶庄","丰管路9号院(近致美惠欧洲站服饰)","(010)63773727","购物;商铺","http://api.map.baidu.com/place/detail?uid=379af1a6e116000442afe604&output=html&source=placeapi_v2","11","","",""
3,"吴裕泰茶庄(东大街店)","北京市丰台区丰台东大街游泳场顺天府超市南侧","010-63811334","购物;商铺","http://api.map.baidu.com/place/detail?uid=480b24d0eea8fa8c9cec2b3f&output=html&source=placeapi_v2","5","","",""
4,"泓丰茶楼","益泽路丽泽景园16号楼底商(美克美家)","010-57213960","购物;商铺","http://api.map.baidu.com/place/detail?uid=14bbd95eaffbc2c4770269dc&output=html&source=placeapi_v2","20","","4.2",""
