"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"逐鹿茶楼(学院路店)","北京市海淀区学院路6号院1-9","(010)82395958,(010)82396821","美食;茶座","http://api.map.baidu.com/place/detail?uid=22e11407bbb1d7add5b74e58&output=html&source=placeapi_v2","353","","4.5",""
2,"三国鼎盛茶楼","北京市朝阳区安立路甲52号","","美食;茶座","http://api.map.baidu.com/place/detail?uid=101bc61b7862efbac42ba151&output=html&source=placeapi_v2","451","","4.2",""
3,"广茗阁茶馆","北京市西城区鼓楼西大街61号广茗阁茶楼","(010)64011676","美食;茶座","http://api.map.baidu.com/place/detail?uid=56e88cba95f07d7ca5c756bb&output=html&source=placeapi_v2","1817","","3.3",""
4,"逐鹿茶楼(西直门店)","学院南路学院派A座2层","(010)62227688","美食;茶座","http://api.map.baidu.com/place/detail?uid=05dd7d5f2f6b4c18ad080f5b&output=html&source=placeapi_v2","238","","4.1",""
5,"露雨轩茶楼(牡丹园店)","北京市海淀区北太平庄路2号(月季园北门)","(010)82082728","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=5c2dc21d8184e41d6fc02c5b&output=html&source=placeapi_v2","239","","4.8",""
6,"北京七彩云南庆沣祥茶庄(月坛店)","北京市西城区月坛北街26号","(010)58565229,(010)58566058,(010)58566099,4006365727","美食;小吃快餐店","http://api.map.baidu.com/place/detail?uid=6d04aaba007637ef14948e88&output=html&source=placeapi_v2","3","","3.0",""
7,"逐鹿茶楼(望京店)","湖光中街9-2号","010-62277789","美食;茶座","http://api.map.baidu.com/place/detail?uid=593850fbbe9b0f44df1e5257&output=html&source=placeapi_v2","320","","5",""
8,"吴裕泰茶莊","北京市东城区东直门东四北大街46号","010-64041928","购物;商铺","http://api.map.baidu.com/place/detail?uid=6ee0102049396af653e5c586&output=html&source=placeapi_v2","175","","4.3",""
9,"王府茶楼养生宴(朝阳公园店)","北京朝阳区朝阳公园西路1号院8号公馆北面路口内600米近枣营路、朝阳公园北侧、皇石国际公寓西侧","(010)65385868","美食;其他","http://api.map.baidu.com/place/detail?uid=e6ee2fd2f79b9d512a11d188&output=html&source=placeapi_v2","256","","4",""
10,"问天阁茶楼","北京市三里河东路一区5-2号","(010)68577966, (010)68530368","购物;商铺","http://api.map.baidu.com/place/detail?uid=cd2cb74ccffe9bc2260bd0ee&output=html&source=placeapi_v2","267","","4.9",""
11,"吴裕泰茶庄","北京市东城区王府井大街186号","010-65254961","购物;商铺","http://api.map.baidu.com/place/detail?uid=24d055084b0228b6138824a9&output=html&source=placeapi_v2","913","","4.3",""
12,"吴裕泰茶庄","北京东城区前门大街42号吴裕泰茶庄","(010)67023869","购物;商铺","http://api.map.baidu.com/place/detail?uid=7524cb4f34b6f72d04026fcb&output=html&source=placeapi_v2","60","","4.3",""
13,"避风塘茶楼(华堂店)","北京朝阳区十里堡甘露西园1号楼(十里堡火车桥西边)","(010)65575236","美食;茶座","http://api.map.baidu.com/place/detail?uid=bbe9feb31a682c02a2d230cf&output=html&source=placeapi_v2","132","","4.5",""
14,"张一元茶庄(前门大街分店)","北京市东城区前门大街86号","010-67019371","购物;商铺","http://api.map.baidu.com/place/detail?uid=9ee7cc7872973f6917c905b2&output=html&source=placeapi_v2","90","","4.1",""
15,"张一元茶庄望京分店","望京广顺北大街36号","(010)64726514","购物;商铺","http://api.map.baidu.com/place/detail?uid=e2c734e4025a5c4414a190aa&output=html&source=placeapi_v2","26","","3.9",""
16,"汇成茶楼酒店","中华民族园西门1-11号（近奥体中心地铁站）","(010)82997708","美食;茶座","http://api.map.baidu.com/place/detail?uid=af574de6231e0d37100daa68&output=html&source=placeapi_v2","45","","2.9",""
17,"七彩云南茶楼(广宁伯街店)","广宁伯街2号金泽大厦","(010)52601089","美食;茶座","http://api.map.baidu.com/place/detail?uid=7d5f3a0a6c8b64522db90886&output=html&source=placeapi_v2","11","","3.7",""
18,"紫竹调茶楼","朝阳区呼家楼北里乙十号","(010)85951582","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=c5ddcc08dbe3ecc6d813185d&output=html&source=placeapi_v2","19","","2.7",""
19,"清香林茶楼(万寿路店)","海淀区翠微南里21号楼","(010)68274954,(010)68223452","美食;咖啡厅","http://api.map.baidu.com/place/detail?uid=eb367503900ea40201ec01bc&output=html&source=placeapi_v2","61","","4.2",""
