"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
1,"烟酒茶超市","北京市丰台区","","购物;超市","http://api.map.baidu.com/place/detail?uid=f1eede60c2625a9c0e0e6ba9&output=html&source=placeapi_v2","16","","",""
2,"仙添香茶行","马连道天福缘茶叶批发市场北17号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8bfc85ff23c6a285ca1b955a&output=html&source=placeapi_v2","4","","",""
3,"茶生缘茶业","马连道天福缘茶叶批发市场东门-5号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=58fd497414c1f6eaacee7a93&output=html&source=placeapi_v2","4","","",""
4,"大玩家茶府","北京西城区马连道路19号茶马大厦1楼(家乐福往南150米)","(010)51938772","购物;商铺","http://api.map.baidu.com/place/detail?uid=49a02a7a22ab26592a201ab1&output=html&source=placeapi_v2","14","","5",""
5,"老曼峨牌普洱茶北京营销部","马连道15号院2号楼2-4铺","010-52690309","购物;商铺","http://api.map.baidu.com/place/detail?uid=c762df2512225e18ab0dd8ec&output=html&source=placeapi_v2","4","","5",""
6,"大德盛茶號","中国马连道14号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c55ca47293d515572cb96df5&output=html&source=placeapi_v2","7","","",""
7,"北京柯氏茶行","马连道胡同14号天福缘茶叶市场C1-30","(010)58390436","购物","http://api.map.baidu.com/place/detail?uid=a6282abcb86fe6874207c1e2&output=html&source=placeapi_v2","8","","",""
8,"道同香茗茶行","西城区马连道南口茶缘茶城东楼五号(新年华购物中心)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f7d40fb574cebcd5be484264&output=html&source=placeapi_v2","1","","",""
9,"仙仙普洱茶大观园","西城区马连道路6号院-4-13号","13910587723","购物;商铺","http://api.map.baidu.com/place/detail?uid=3dc05c77860e6c3403897236&output=html&source=placeapi_v2","17","","",""
10,"清友谈茶-新茶煮义","西城区马连道第三区商业街2号楼10016-10017","13801079737","美食;茶座","http://api.map.baidu.com/place/detail?uid=a45edc8c0963594db8bd630e&output=html&source=placeapi_v2","1","","5",""
11,"茶马街6号院-正门","北京市西城区","","出入口;门","http://api.map.baidu.com/place/detail?uid=ac93209a109c1f30f2193729&output=html&source=placeapi_v2","1","","0",""
12,"北京巴蜀茗乡茶行","马连道21号京闽茶城3层18号","13260039991","购物;商铺","http://api.map.baidu.com/place/detail?uid=19bf0b93b8890e81593ac822&output=html&source=placeapi_v2","1","","5",""
13,"茶马大厦停车场-入口","马连道路19号","","出入口;其他","http://api.map.baidu.com/place/detail?uid=691af9c8b519625f0782c2a6&output=html&source=placeapi_v2","1","","",""
14,"秀域(茶马大厦西)","马连道路15号院11","(010)52690990","丽人;美容","http://api.map.baidu.com/place/detail?uid=6fddd7fd797465663517dc11&output=html&source=placeapi_v2","31","","3.9",""
15,"韵香茗茶(茶马北街)","马连道路12号院京马茶城A7号","(010)63405746,13699181237","购物","http://api.map.baidu.com/place/detail?uid=f8944968d67c38f1cb213d5e&output=html&source=placeapi_v2","1","","",""
16,"普洱茶专卖(马连道路)","马连道路21号京闽茶城1层15号、4层07号","(010)63312188,(010)63422506,(010)63482829","购物","http://api.map.baidu.com/place/detail?uid=363090021e574572d8d8919d&output=html&source=placeapi_v2","4","","",""
17,"聚鼎元茶行(北京旗舰店)","西城区马连道第三区商业街5-1109","(010)83204306","购物;商铺","http://api.map.baidu.com/place/detail?uid=9c1ec7cadd2150419ee32187&output=html&source=placeapi_v2","4","","",""
18,"福香春茗茶(茶马大厦东)","西城区马连道路12号院京马茶城B1号(茶马大厦东)","13701063244","购物;商铺","http://api.map.baidu.com/place/detail?uid=d96284e85c3b1ab95d0d02da&output=html&source=placeapi_v2","5","","",""
19,"中圣明金融(茶马南街)","马连道南街63附近","","金融","http://api.map.baidu.com/place/detail?uid=1a28ffdf85dbbb9a1ce9998d&output=html&source=placeapi_v2","3","","",""
20,"北京三千水茶文化有限公司","马连道路12号院京马茶城A18","(010)63420188,13601298938","公司企业","http://api.map.baidu.com/place/detail?uid=2794b4d8b4e882b0c26c1418&output=html&source=placeapi_v2","5","","",""
21,"茶马街6号院地下停车场-入口","北京市西城区茶马南路","","出入口;其他","http://api.map.baidu.com/place/detail?uid=79790c70c0e010a0c056ac28&output=html&source=placeapi_v2","1","","0",""
22,"仙添香茶行","马连道天福缘茶叶批发市场北17号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=8bfc85ff23c6a285ca1b955a&output=html&source=placeapi_v2","4","","",""
23,"茶生缘茶业","马连道天福缘茶叶批发市场东门-5号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=58fd497414c1f6eaacee7a93&output=html&source=placeapi_v2","4","","",""
24,"大玩家茶府","北京西城区马连道路19号茶马大厦1楼(家乐福往南150米)","(010)51938772","购物;商铺","http://api.map.baidu.com/place/detail?uid=49a02a7a22ab26592a201ab1&output=html&source=placeapi_v2","14","","5",""
25,"老曼峨牌普洱茶北京营销部","马连道15号院2号楼2-4铺","010-52690309","购物;商铺","http://api.map.baidu.com/place/detail?uid=c762df2512225e18ab0dd8ec&output=html&source=placeapi_v2","4","","5",""
26,"大德盛茶號","中国马连道14号","","购物;商铺","http://api.map.baidu.com/place/detail?uid=c55ca47293d515572cb96df5&output=html&source=placeapi_v2","7","","",""
27,"北京柯氏茶行","马连道胡同14号天福缘茶叶市场C1-30","(010)58390436","购物","http://api.map.baidu.com/place/detail?uid=a6282abcb86fe6874207c1e2&output=html&source=placeapi_v2","8","","",""
28,"道同香茗茶行","西城区马连道南口茶缘茶城东楼五号(新年华购物中心)","","购物;商铺","http://api.map.baidu.com/place/detail?uid=f7d40fb574cebcd5be484264&output=html&source=placeapi_v2","1","","",""
29,"仙仙普洱茶大观园","西城区马连道路6号院-4-13号","13910587723","购物;商铺","http://api.map.baidu.com/place/detail?uid=3dc05c77860e6c3403897236&output=html&source=placeapi_v2","17","","",""
