"序号","名称","地址","电话","标签","百度链接","图片数量","营业时间","总体评分","签到数"
30,"清友谈茶-新茶煮义","西城区马连道第三区商业街2号楼10016-10017","13801079737","美食;茶座","http://api.map.baidu.com/place/detail?uid=a45edc8c0963594db8bd630e&output=html&source=placeapi_v2","1","","5",""
31,"茶马街6号院-正门","北京市西城区","","出入口;门","http://api.map.baidu.com/place/detail?uid=ac93209a109c1f30f2193729&output=html&source=placeapi_v2","1","","0",""
32,"北京巴蜀茗乡茶行","马连道21号京闽茶城3层18号","13260039991","购物;商铺","http://api.map.baidu.com/place/detail?uid=19bf0b93b8890e81593ac822&output=html&source=placeapi_v2","1","","5",""
33,"茶马大厦停车场-入口","马连道路19号","","出入口;其他","http://api.map.baidu.com/place/detail?uid=691af9c8b519625f0782c2a6&output=html&source=placeapi_v2","1","","",""
34,"秀域(茶马大厦西)","马连道路15号院11","(010)52690990","丽人;美容","http://api.map.baidu.com/place/detail?uid=6fddd7fd797465663517dc11&output=html&source=placeapi_v2","31","","3.9",""
35,"韵香茗茶(茶马北街)","马连道路12号院京马茶城A7号","(010)63405746,13699181237","购物","http://api.map.baidu.com/place/detail?uid=f8944968d67c38f1cb213d5e&output=html&source=placeapi_v2","1","","",""
36,"普洱茶专卖(马连道路)","马连道路21号京闽茶城1层15号、4层07号","(010)63312188,(010)63422506,(010)63482829","购物","http://api.map.baidu.com/place/detail?uid=363090021e574572d8d8919d&output=html&source=placeapi_v2","4","","",""
37,"聚鼎元茶行(北京旗舰店)","西城区马连道第三区商业街5-1109","(010)83204306","购物;商铺","http://api.map.baidu.com/place/detail?uid=9c1ec7cadd2150419ee32187&output=html&source=placeapi_v2","4","","",""
38,"福香春茗茶(茶马大厦东)","西城区马连道路12号院京马茶城B1号(茶马大厦东)","13701063244","购物;商铺","http://api.map.baidu.com/place/detail?uid=d96284e85c3b1ab95d0d02da&output=html&source=placeapi_v2","5","","",""
39,"中圣明金融(茶马南街)","马连道南街63附近","","金融","http://api.map.baidu.com/place/detail?uid=1a28ffdf85dbbb9a1ce9998d&output=html&source=placeapi_v2","3","","",""
40,"北京三千水茶文化有限公司","马连道路12号院京马茶城A18","(010)63420188,13601298938","公司企业","http://api.map.baidu.com/place/detail?uid=2794b4d8b4e882b0c26c1418&output=html&source=placeapi_v2","5","","",""
41,"茶马街6号院地下停车场-入口","北京市西城区茶马南路","","出入口;其他","http://api.map.baidu.com/place/detail?uid=79790c70c0e010a0c056ac28&output=html&source=placeapi_v2","1","","0",""
42,"北京梵茗缘茶文化有限公司","马连道第三区3号楼10011室(近广安门)","(010)63433011","公司企业","http://api.map.baidu.com/place/detail?uid=95c5ecc7b58dc4516d20b95b&output=html&source=placeapi_v2","35","","",""
43,"北京翰云轩茶文化有限公司","马连道南口第三区商业街1049C","(010)63259388","购物;商铺","http://api.map.baidu.com/place/detail?uid=ad29658380256b88f219373e&output=html&source=placeapi_v2","41","","",""
44,"湾子街社区居委会(茶源路)","马连道路15号信和嘉园3号楼底层","","政府机构;各级政府","http://api.map.baidu.com/place/detail?uid=3e37b9ca2dd661b1fa0cad8f&output=html&source=placeapi_v2","3","","",""
45,"山亭茶业(茶马大厦东)","西城区马连道路12号院京马茶城A5号(北京茶叶总公司品牌商务楼西北)","(010)63397598,13811262119","购物;商铺","http://api.map.baidu.com/place/detail?uid=94969fdc532be769c036441c&output=html&source=placeapi_v2","4","","",""
46,"上海浦东发展银行24小时自助银行(茶马北街)","西城区马连道路14号","","金融;atm","http://api.map.baidu.com/place/detail?uid=07ecadfe9921154cb03c814d&output=html&source=placeapi_v2","3","","",""
47,"第三区-商业街","茶马街8号院","(010)63466666,010-63634080","购物;商铺","http://api.map.baidu.com/place/detail?uid=348c14e03bfad10dac0457bd&output=html&source=placeapi_v2","4","","3.5",""
48,"北京快途电子商务公司","马连道路19号茶马大厦1404","","公司企业","http://api.map.baidu.com/place/detail?uid=e1a25103d74eb9f375e5b6d0&output=html&source=placeapi_v2","1","","",""
49,"杭嘉湖菊业","茶马北街1号院2世纪茶贸中心1-125号","(010)63486796","购物;商铺","http://api.map.baidu.com/place/detail?uid=43dfc51f31bc8e8a2b06ceb6&output=html&source=placeapi_v2","7","","",""
50,"狼尊国际商业管理(北京)有限公司","北京市西城区马连道19号茶马大厦8层B区","4006856799","公司企业","http://api.map.baidu.com/place/detail?uid=3807a3f686618571fbf0cb52&output=html&source=placeapi_v2","1","","",""
51,"天时茶品","茶马北街1号院2世纪茶贸中心","","购物;商铺","http://api.map.baidu.com/place/detail?uid=d188d8cf636dc207047ce8fd&output=html&source=placeapi_v2","3","","",""
52,"北京博恩登科特科技公司","马连道路19号茶马大厦1208","","公司企业","http://api.map.baidu.com/place/detail?uid=08a4b3d6d01759359e9d68b9&output=html&source=placeapi_v2","1","","",""
53,"北京中天四海商贸公司","马连道路19号茶马大厦1412","","公司企业","http://api.map.baidu.com/place/detail?uid=12987a2df07c08be15a190a1&output=html&source=placeapi_v2","1","","",""
54,"君山伟业电子商务公司","马连道路19号茶马大厦1406","","公司企业","http://api.map.baidu.com/place/detail?uid=9bed39d460cd60c904fef54f&output=html&source=placeapi_v2","1","","",""
55,"北京青年旅行社股份有限公司广外营业部","西城区马连道路19号茶马大厦5层503号","63328685","公司企业;公司","http://api.map.baidu.com/place/detail?uid=693145df30f2813fa4da39c3&output=html&source=placeapi_v2","7","","",""
56,"北京市银河点睛知识产权代理有限公司","茶马街6号院5号楼2单元1101","(010)63254539,18500585381","公司企业","http://api.map.baidu.com/place/detail?uid=62210b50b57623417dc876d7&output=html&source=placeapi_v2","1","","",""
57,"唐密茶道文化交流中心","马连道路19号茶马大厦509","","公司企业","http://api.map.baidu.com/place/detail?uid=8421b630afe93ce00f0a705d&output=html&source=placeapi_v2","1","","",""
58,"第三区商业街地下停车场-出口","北京市西城区茶马南路","","出入口;其他","http://api.map.baidu.com/place/detail?uid=46fe896feba347a6a1d230b9&output=html&source=placeapi_v2","1","","0",""
59,"北京市恒物广安经贸公司","马连道路19号茶马大厦1502","","公司企业","http://api.map.baidu.com/place/detail?uid=63c163cd8b49f2b4c7f50da9&output=html&source=placeapi_v2","1","","",""
60,"宝篆沉香","广安门外街道茶马北街一号院世纪茶贸中心B1层茶贸生活馆A-03","","公司企业","http://api.map.baidu.com/place/detail?uid=07cb9dc49c953a5a3c9a5eac&output=html&source=placeapi_v2","2","","0",""
61,"梦洁家纺(马莲道店)","西城区马莲道路19号茶马大厦1411室","(010)63342158","购物;家居建材","http://api.map.baidu.com/place/detail?uid=53cebd501e1b28782a02e1c5&output=html&source=placeapi_v2","4","","",""
62,"中基信和置业有限公司","马连道路19号茶马大厦1507","","公司企业","http://api.map.baidu.com/place/detail?uid=098054f9ddf66cb7ca09f0a9&output=html&source=placeapi_v2","1","","",""
63,"中新佳园二区-停车场","西城区茶源路","","交通设施;停车场","http://api.map.baidu.com/place/detail?uid=74423bfc88dacf94b6147f39&output=html&source=placeapi_v2","2","","0",""
64,"曦瓜大红袍","丰台区马连道茶源路18号底商","","公司企业","http://api.map.baidu.com/place/detail?uid=d8bf8111a48482f46ca3cc11&output=html&source=placeapi_v2","7","","5",""
65,"一园","马连道路19号茶马大厦1201室(近家乐福)","(010)63391768","购物;商铺","http://api.map.baidu.com/place/detail?uid=2a7a25ec6fbb997a6d3e1bb1&output=html&source=placeapi_v2","11","","4",""
66,"中华老字号猴坑茶业北京分公司","北京市西城区茶源路18号院戎晖嘉园3-01","010-63264435","购物;商铺","http://api.map.baidu.com/place/detail?uid=c178f9bc9b8b0eaf40e19276&output=html&source=placeapi_v2","18","","5",""
67,"北京印梵西瓦瑜伽","北京市西城区马连道路19号茶马大厦十层1010室","4006665215,(010)63364404","运动健身;健身中心","http://api.map.baidu.com/place/detail?uid=ea4a3dc904a5f5374f5547a3&output=html&source=placeapi_v2","29","","5",""
68,"北京元博元动物医院","西城区茶马街中新佳园一区8号楼底商3号","010-59561531|15210108508","生活服务;宠物服务","http://api.map.baidu.com/place/detail?uid=54c44448c781a5aef503b8a1&output=html&source=placeapi_v2","29","","5",""
69,"戎晖嘉园-西门","茶源路18","","出入口;门","http://api.map.baidu.com/place/detail?uid=87b283e3cd23ad8cb5f42f81&output=html&source=placeapi_v2","2","","",""
70,"京闽茶城","西城区马连道路21号茶马大厦(家乐福南侧)","(010)63487365","购物;商铺","http://api.map.baidu.com/place/detail?uid=e3a7fd13aab92d4b29b97cad&output=html&source=placeapi_v2","8","","5",""
71,"民旭通通讯设备销售公司","马连道路19号茶马大厦1508","","公司企业","http://api.map.baidu.com/place/detail?uid=73bc35d8cee986b2e8f85396&output=html&source=placeapi_v2","1","","",""
72,"北京天宇乐康商贸公司","马连道路19号茶马大厦1301/1302","","公司企业","http://api.map.baidu.com/place/detail?uid=3550f1fe4430d47f9868b44f&output=html&source=placeapi_v2","1","","",""
73,"北京信诚万洲知识产权代理有限公司","茶马街8号(第三区)3号楼512室","","公司企业","http://api.map.baidu.com/place/detail?uid=92640c56d1409de67702691e&output=html&source=placeapi_v2","1","","",""
74,"北京和源本草茶业公司","马连道路19号茶马大厦1209/1210","","公司企业","http://api.map.baidu.com/place/detail?uid=1bfd442ef74d60adce04efcf&output=html&source=placeapi_v2","1","","",""
75,"北京同创佳艺广告公司","马连道路19号茶马大厦1108","","公司企业;公司","http://api.map.baidu.com/place/detail?uid=d2f33e27103f5aa03a04b1d7&output=html&source=placeapi_v2","1","","",""
76,"北京金朝商贸公司","马连道路19号茶马大厦1101/1102","","公司企业","http://api.map.baidu.com/place/detail?uid=4171de967af21c61e5e9653d&output=html&source=placeapi_v2","1","","",""
77,"北京茶叶协会安溪铁观音分会","马连道路19号茶马大厦1108a","","政府机构;党派团体","http://api.map.baidu.com/place/detail?uid=29eb6abe70f82bcbc9e33c68&output=html&source=placeapi_v2","1","","0",""
78,"中科地产(第三区店)","茶马街8号院2","","生活服务;房产中介机构","http://api.map.baidu.com/place/detail?uid=d93ffcff6a3a879216764373&output=html&source=placeapi_v2","3","","0",""
79,"北京启成知识产权代理有限公司","北京市西城区马连道路19号茶马大厦501室","88494046","公司企业","http://api.map.baidu.com/place/detail?uid=ecd2fa2b7037b0f626e0a021&output=html&source=placeapi_v2","3","","5",""
80,"北京福茗春茶叶公司","马连道路19号茶马大厦1层南厅","","购物;商铺","http://api.map.baidu.com/place/detail?uid=cf5042eb8989ce2d167643f2&output=html&source=placeapi_v2","1","","",""
81,"北京中和信泰科贸公司","马连道路19号茶马大厦1006","","公司企业","http://api.map.baidu.com/place/detail?uid=5a6c44c31c7706fef60e77ec&output=html&source=placeapi_v2","1","","",""
82,"勐海云河茶厂","西城区茶马北街1号院2世纪茶贸中心1号楼2层208号","15810388700","购物;商铺","http://api.map.baidu.com/place/detail?uid=80db7ae603cf6ba8ede4a5ec&output=html&source=placeapi_v2","3","","",""
83,"台湾群叶茶业","北京市西城区马连道天福缘茶城南11号","(010)58390358","政府机构;党派团体","http://api.map.baidu.com/place/detail?uid=ff0bcd1f474be41e08f5ebc4&output=html&source=placeapi_v2","1","","",""
84,"北京条山税务事务所公司","马连道路19号茶马大厦503","(010)52690287","公司企业;公司","http://api.map.baidu.com/place/detail?uid=ffd836ba917f546aca09f01c&output=html&source=placeapi_v2","1","","",""
85,"龙文教育北京马连道校区","马连道路19号茶马大厦四层","(010)52697160","教育培训;其他","http://api.map.baidu.com/place/detail?uid=f2bebfc0cf381f8bc26c149c&output=html&source=placeapi_v2","7","","",""
86,"北京易龙顺成经贸公司","北京市西城区马连道路19号茶马大厦1309","","公司企业","http://api.map.baidu.com/place/detail?uid=706564dcb7253981ede4a5d3&output=html&source=placeapi_v2","1","","",""
87,"北京胡杨国际知识产权代理有限公司","茶马街8号院2号楼611室","13001988","公司企业","http://api.map.baidu.com/place/detail?uid=5eab021d0f999879c27da2a0&output=html&source=placeapi_v2","1","","",""
88,"北京铭天知识产权代理有限公司","北京市西城区马连道路19号茶马大厦1510","63354221","公司企业","http://api.map.baidu.com/place/detail?uid=efd3effe2e76e6464107c181&output=html&source=placeapi_v2","1","","",""
89,"海淀区龙文文化培训学校","马连道路19号茶马大厦4层","(010)59799760","教育培训;培训机构","http://api.map.baidu.com/place/detail?uid=d637b8b01939c02443afe69e&output=html&source=placeapi_v2","1","","5.0",""
90,"国窖1573(马连道店)","马连道路15号院3-10(近茶源路)","(010)52697144","购物;商铺","http://api.map.baidu.com/place/detail?uid=67a295ccf8f6466936b06c73&output=html&source=placeapi_v2","7","","2",""
91,"杰睿环球科技公司","马连道路19号茶马大厦1313","","公司企业","http://api.map.baidu.com/place/detail?uid=5fa1f708c8300f31a8059db3&output=html&source=placeapi_v2","1","","",""
92,"闽仁韩香茶具批发中心","马连道天福缘茶城南-15号","(010)58390186","购物;商铺","http://api.map.baidu.com/place/detail?uid=b0134e9fad85802f83a00c05&output=html&source=placeapi_v2","6","","5",""
93,"北京大安普康大药房","茶源路18号院2-5号(近京闽茶城)","(010)63366331","医疗;药店","http://api.map.baidu.com/place/detail?uid=4ce10ce643ac8db8441a327b&output=html&source=placeapi_v2","9","","",""
94,"戎晖嘉园","茶源路18号(新年华购物中心)","","房地产;住宅区","http://api.map.baidu.com/place/detail?uid=4eb3b5336ab3be08430245e6&output=html&source=placeapi_v2","13","","4",""
95,"博纳伟业机电设备公司","马连道路19号茶马大厦1213","","公司企业","http://api.map.baidu.com/place/detail?uid=aca2948ed59fb571abf729f4&output=html&source=placeapi_v2","1","","",""
96,"北京达彩科技发展公司","马连道路19号茶马大厦507","","公司企业","http://api.map.baidu.com/place/detail?uid=af553ad62af1f8afc91b951b&output=html&source=placeapi_v2","1","","",""
97,"北京普茗源产商贸公司","马连道路19号茶马大厦1203","","公司企业","http://api.map.baidu.com/place/detail?uid=8dd61de8da2ebb8e3010af92&output=html&source=placeapi_v2","1","","",""
98,"北京嘉雄科贸有限公司","马连道路19号茶马大厦1402","","公司企业","http://api.map.baidu.com/place/detail?uid=0bdda41a2ad351a275e5b656&output=html&source=placeapi_v2","1","","",""
99,"神州科达数码科技(北京)有限公司","马连道路19号茶马大厦9层","","公司企业","http://api.map.baidu.com/place/detail?uid=572a9c5aea10bc1715c905c7&output=html&source=placeapi_v2","1","","",""
100,"北京更生宏达商贸公司","马连道路19号茶马大厦1409","","公司企业","http://api.map.baidu.com/place/detail?uid=d1aa3ca9c9d22102c6f50db7&output=html&source=placeapi_v2","1","","",""
101,"北京传奇牛仔加盟","北京市西城区马连道路19号茶马大厦8层B区","(010)52550799","购物;商铺","http://api.map.baidu.com/place/detail?uid=e124e8fd5647f2e251e5c5c1&output=html&source=placeapi_v2","1","","",""
102,"王牌花茶","茶马西路茶马北街路口附近","","购物;商铺","http://api.map.baidu.com/place/detail?uid=154ca6d95959ce718bb988fc&output=html&source=placeapi_v2","10","","",""
103,"燕茗斋","茶马街8号院2号楼20001室","(010)83204840","购物;商铺","http://api.map.baidu.com/place/detail?uid=387e4d6446e6827c1c3894f7&output=html&source=placeapi_v2","3","","",""
104,"金泰长宏钢铁技术公司","马连道路19号茶马大厦501","","公司企业","http://api.map.baidu.com/place/detail?uid=c97f8ea50a4850e180a00ca0&output=html&source=placeapi_v2","1","","",""
105,"北京奇隆翔茶叶有限责任公司","马连道19号茶马大厦七层（大翔）","(010)52697256","公司企业;农林园艺","http://api.map.baidu.com/place/detail?uid=7fd546adbfc4ebf388fc06b2&output=html&source=placeapi_v2","1","","",""
106,"檀京相宇（北京）商贸有限公司","北京市丰台区太平桥东纸库1号马连道茶缘茶叶批发市场六妙茶世界2楼1号","51809918","公司企业;公司","http://api.map.baidu.com/place/detail?uid=a66bd09b9e9fe87ccc06a4c7&output=html&source=placeapi_v2","1","","",""
107,"北京中闽鼎丰源商贸有限公司","北京市丰台区太平桥东纸库一号马连道茶缘茶叶批发市场六妙茶世界7号","51939519","公司企业;公司","http://api.map.baidu.com/place/detail?uid=36bf7d075fbad93a40e192fd&output=html&source=placeapi_v2","1","","",""
108,"我爱我家家居用品中国运营总部","马连道路19号茶马大厦8层","","购物;家居建材","http://api.map.baidu.com/place/detail?uid=c3f5ede36795ad88c9e33ce2&output=html&source=placeapi_v2","1","","",""
109,"佰京华子茶庄(北京店)","马连道路23号楼底商(近茶马大厦)","13911760671","购物;商铺","http://api.map.baidu.com/place/detail?uid=3f9337d60b0193aaf62310b1&output=html&source=placeapi_v2","5","","",""
110,"北京卫智知识产权代理有限公司","茶马街8号院第三区2号楼1012室","(010)59490833,15101042395","公司企业","http://api.map.baidu.com/place/detail?uid=71a80889e00c2531130daabb&output=html&source=placeapi_v2","1","","",""
111,"北京马连道品品香商贸有限公司","马连道路19号茶马大厦505","63371976,15001130036","公司企业;公司","http://api.map.baidu.com/place/detail?uid=a94a6dd4fa3ae06b71210b1c&output=html&source=placeapi_v2","1","","",""
112,"景源陶艺淘吧","马连道北京音像大厦二楼D1（世纪茶贸南对面）","(010)58390506","休闲娱乐;其他","http://api.map.baidu.com/place/detail?uid=5eff7236f55f56d0e5e9652c&output=html&source=placeapi_v2","14","","5",""
113,"北京迈视传媒有限公司","马连道路19号茶马大厦16层","","文化传媒","http://api.map.baidu.com/place/detail?uid=ab71e658f9262c9e16a1907d&output=html&source=placeapi_v2","1","","",""
114,"太姥缘香福鼎白茶","马连道天福缘茶城南-8号","13910720810","购物;商铺","http://api.map.baidu.com/place/detail?uid=20fb1e90bd18522cc03644f3&output=html&source=placeapi_v2","7","","",""
115,"嘉茗阁茶楼","茶马街8号院5号楼1101室","(010)63634719","美食;茶座","http://api.map.baidu.com/place/detail?uid=8c590f91ea2df559bda240ed&output=html&source=placeapi_v2","8","","5",""
116,"第三区商业街-北门","茶马街8号院5","","出入口;门","http://api.map.baidu.com/place/detail?uid=e885cef5d5db0d8988f15de0&output=html&source=placeapi_v2","1","","",""
117,"正山堂(马连道店)","马连道茶源路18号院2号楼底商206号","13001147622,(010)63327619","购物;商铺","http://api.map.baidu.com/place/detail?uid=791fba23200cc68e1ce999ab&output=html&source=placeapi_v2","4","","5",""
118,"北京茶叶总公司茶叶市场(马连道路)","茶马北街1号院2世纪茶贸中心","(010)63341598","教育培训;科研机构","http://api.map.baidu.com/place/detail?uid=ec86d50a508959252b3a9f7a&output=html&source=placeapi_v2","6","","5",""
119,"闽东海鲜楼","丰台区马连道路茶缘茶城西长廊8号闽东海鲜楼","(010)57402117,13459352888","美食;中餐厅","http://api.map.baidu.com/place/detail?uid=e62e0d1b45deff90276e987d&output=html&source=placeapi_v2","69","","4.5",""
